0,1,MeanDecreaseAccuracy,MeanDecreaseGini,feature
100.94239354114136,107.14487240976726,119.80577662503083,145.29165712375683,ma_graduate
11.03695360176234,18.61284991916378,20.26223950484654,41.34855308122309,gpa
7.880902071467107,3.418000732057273,8.296950061257657,33.82637898963951,abs_percent
6.671206167433238,0.9897173246354053,6.026131093491436,29.5984670157824,tardy_rate
-1.7347560525807422,4.605674686433886,1.4619241010761945,19.235757532914207,sports_count
4.198543085744398,5.042162955468368,6.748055002078895,13.454744726716681,fin_aid
0.45238832224267744,-0.1317030184925367,0.2514785046844914,10.744233753760788,region
1.6321019929867697,1.177546075712862,2.0159223926280285,6.975035221393278,race
1.877406457328798,1.6513133158414117,2.4653423121826226,4.525472698832629,gender
0.17394265020734553,-0.743899739890581,-0.31097818721447207,1.7613884260895631,fine_arts
2.0072001503315278,2.7755357118683546,3.155202748268043,0.36339093592790017,free_lunch
