Sport,N,Advanced,Chi²,p,Significance
Basketball,24,24,356.9523809523809,1.2977826904609142e-79,p < .05
Other (College Participation),18,18,267.7142857142857,3.5733736263567695e-60,p < .05
Football,12,12,178.47619047619045,1.0426472742435332e-40,p < .05
