0,1,MeanDecreaseAccuracy,MeanDecreaseGini,feature
106.35223794589001,105.98446061347227,124.24649505092817,148.99880861810587,ma_graduate
9.218799903451801,20.30010606369074,20.16957392295499,40.91368530682484,gpa
7.225640866869875,4.5141009821671485,8.7278600317182935,33.06019884517619,abs_percent
6.185524842174189,2.1320825512667376,6.669169034539735,28.706505308440196,tardy_rate
-1.1337276844482551,6.719793931678515,3.0004906646141447,18.814368493855163,sports_count
3.5832346369458183,6.3110444338399105,6.805560356814927,12.738047192673905,fin_aid
-1.6025333105300748,-1.338173562052724,-1.9805935356712543,9.95180177874006,region
1.0928092307791906,2.436836771933657,2.4766739720291446,7.152334544780221,race
4.3840418896664595,4.109359923888754,5.803230655702195,4.359355147948939,gender
1.5113149530690468,1.9699353422333834,2.583384960094526,1.5933819918795968,fine_arts
-0.49669358740599223,3.2978329245646254,2.5723207191833746,0.41897159418900837,free_lunch
